#SampleID	Strain
#q2:types	categorical
CG01-1	WT
CG02-2	WT
CG03-3	WT
CG04-4	WT
CG05-5	WT
CG06-6	WT
CG07-7	IgAKO
CG08-8	IgAKO
CG09-9	IgAKO
CG10-10	IgAKO
CG11-11	IgAKO
CG12-12	IgAKO
CG13-13	IgAKO
CG14-14	WT
CG15-15	WT
CG16-16	WT
CG17-17	WT
CG18-18	WT
CG19-19	WT
CG20-20	WT
CG21-21	WT
CG22-22	WT
CG23-23	WT
CG24-24	IgAKO
CG25-25	IgAKO
CG26-26	IgAKO
CG27-27	IgAKO
CG28-28	IgAKO
CG29-29	IgAKO
CG30-30	IgAKO
CG31-31	IgAKO
CG32-32	IgAKO
CG33-33	IgAKO
CG34-34	WT
CG35-35	WT
CG36-36	WT
CG37-37	WT
CG38-38	WT
CG39-39	WT
CG40-40	IgAKO
CG41-41	IgAKO
CG42-42	IgAKO
CG43-43	IgAKO
CG44-44	IgAKO
CG45-45	IgAKO
CG46-46	IgAKO
CG47-47	WT
CG48-48	WT
CG49-49	WT
CG50-50	WT
CG51-51	WT
CG52-52	WT
CG53-53	WT
CG54-54	WT
CG55-55	WT
CG56-56	WT
CG57-57	IgAKO
CG58-58	IgAKO
CG59-59	IgAKO
CG60-60	IgAKO
CG61-61	IgAKO
CG62-62	IgAKO
CG63-63	IgAKO
CG64-64	IgAKO
CG65-65	IgAKO
CG66-66	IgAKO
CG67-67	WT
CG68-68	WT
CG69-69	WT
CG70-70	WT
CG71-71	WT
CG72-72	WT
CG73-73	IgAKO
CG74-74	IgAKO
CG75-75	IgAKO
CG76-76	IgAKO
CG77-77	IgAKO
CG78-78	IgAKO
CG79-79	IgAKO
CG80-80	WT
CG81-81	WT
CG82-82	WT
CG83-83	WT
CG84-84	WT
CG85-85	WT
CG86-86	WT
CG87-87	WT
CG88-88	WT
CG89-89	WT
CG90-90	IgAKO
CG91-91	IgAKO
CG92-92	IgAKO
CG93-93	IgAKO
CG94-94	IgAKO
CG95-95	IgAKO
CG96-96	IgAKO
CG97-97	IgAKO
CG98-98	IgAKO
CG99-99	IgAKO
CG100-100	WT
CG101-101	WT
CG102-102	WT
CG103-103	WT
CG104-104	WT
CG105-105	WT
CG106-106	IgAKO
CG107-107	IgAKO
CG108-108	IgAKO
CG109-109	IgAKO
CG110-110	IgAKO
CG111-111	IgAKO
CG112-112	IgAKO
CG113-113	WT
CG114-114	WT
CG115-115	WT
CG116-116	WT
CG117-117	WT
CG118-118	WT
CG119-119	WT
CG120-120	WT
CG121-121	WT
CG122-122	WT
CG123-123	IgAKO
CG124-124	IgAKO
CG125-125	IgAKO
CG126-126	IgAKO
CG127-127	IgAKO
CG128-128	IgAKO
CG129-129	IgAKO
CG130-130	IgAKO
CG131-131	IgAKO
CG132-132	IgAKO
CG133-133	GF WT
CG134-134	GF WT
CG135-135	GF WT
CG136-136	GF WT
CG137-137	GF WT
CG138-138	WT
CG139-139	WT
CG140-140	WT
CG141-141	WT
CG142-142	WT
CG143-143	WT
CG144-144	IgAKO
CG145-145	IgAKO
CG146-146	IgAKO
CG147-147	IgAKO
CG148-148	IgAKO
CG149-149	IgAKO
CG150-150	IgAKO
CG151-151	WT
CG152-152	WT
CG153-153	WT
CG154-154	WT
CG155-155	WT
CG156-156	WT
CG157-157	WT
CG158-158	WT
CG159-159	WT
CG160-160	WT
CG161-161	IgAKO
CG162-162	IgAKO
CG163-163	IgAKO
CG164-164	IgAKO
CG165-165	IgAKO
CG166-166	IgAKO
CG167-167	IgAKO
CG168-168	IgAKO
CG169-169	IgAKO
CG170-170	IgAKO
CG171-171	GF WT
CG172-172	GF WT
CG174-174	GF WT
CG175-175	GF rec WT
CG176-176	GF rec WT
CG177-177	GF rec WT
CG178-178	GF rec WT
CG179-179	GF rec WT
CG180-180	GF rec WT
CG181-181	GF rec WT
CG182-182	GF rec WT
CG183-183	GF rec WT
CG184-184	GF rec IgAKO
CG185-185	GF rec IgAKO
CG186-186	GF rec IgAKO
CG187-187	GF rec IgAKO
CG188-188	GF rec IgAKO
CG189-189	GF rec IgAKO
CG190-190	GF rec IgAKO
CG191-191	GF rec IgAKO
