id	BirthDate	Sex	TankID	Separate	StrainName	Strain	shannon_entropy
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	numeric
CG01-1	4/20/2014	M	814502	Required	WT	WT	5.30535816500808
CG02-2	4/20/2014	M	814502	Text	WT	WT	5.51606105683517
CG03-3	5/3/2014	F	814506	Limit 45 Characters	WT	WT	5.85296206826105
CG04-4	4/7/2014	M	814618	All	WT	WT	5.51244932399911
CG05-5	5/11/2014	M	814523	All	WT	WT	5.28394558452719
CG06-6	5/11/2014	M	814523	All	WT	WT	5.735130396966
CG07-7	4/20/2014	M	814502	All	IgAKO	IgAKO	5.23020315583377
CG08-8	4/20/2014	M	814502	All	IgAKO	IgAKO	5.2320838473935
CG09-9	5/3/2014	F	814506	All	IgAKO	IgAKO	5.42479609055092
CG10-10	4/7/2014	M	814618	All	IgAKO	IgAKO	4.99149167864681
CG11-11	5/11/2014	M	814523	All	IgAKO	IgAKO	5.02283792707301
CG12-12	5/11/2014	M	814523	All	IgAKO	IgAKO	5.01619565002614
CG13-13	4/7/2014	M	814618	All	IgAKO	IgAKO	5.30831533129523
