	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	PC11	PC12	PC13	Strain
CG02-2	-0.09287054113602	0.0318051518784723	-0.0517817294665148	-0.1303878004542115	-0.1257586047706739	0.1087031225232691	-0.1695873688121147	0.0963167178897779	-0.1313407154913814	0.0814988468694987	-0.0537475525475889	0.0833000585649928	-0.0	WT
CG03-3	0.0466764268184867	0.0901349367938103	0.2054948499520859	-0.0229665617070984	0.1766383813927079	-0.0830935308708289	-0.076406785409044	0.119230669601617	-0.0269832399721842	0.1032913217208119	0.1010911999733965	-0.076710553855578	-0.0	WT
CG04-4	0.1649367198672869	-0.0375521207539028	0.0076376054351196	0.0793410217076119	-0.2420916156235469	-0.0820692270753923	-0.0886906046114461	0.0614699004576761	0.1865904890963807	0.029554527927777	-0.0223879361596535	-0.0359415317668059	-0.0	WT
CG05-5	-0.0408713747981522	-0.1369959048718866	0.0981215583755248	-0.0332208534893644	-0.0504315184073282	0.2433464841757641	-0.0289900926387911	-0.1541262141944567	0.0062771322412452	-0.0034513695000846	0.0624050261433727	-0.1056246367252354	-0.0	WT
CG06-6	0.210802221832453	0.0039957847337478	0.148048525671619	-0.1566669607974241	0.0446142521715753	0.018109445315644	0.0122381367710958	-0.027463736297272	0.0519836712258349	-0.1304595235936547	0.0504837030185597	0.1376843406202202	-0.0	WT
CG07-7	-0.1953255294424976	0.1546510843005229	-0.0597924144449136	-0.2535489472252594	-0.0563615171998816	-0.1451092282605604	0.0683610916659291	-0.0542588140338187	0.0266480528199798	-0.0575624784972429	-0.030125041912614	-0.0791798332760954	-0.0	IgAKO
CG08-8	0.2200406929570163	0.0535841352031327	0.0142425994842244	0.0009941788370338	-0.0274118961003513	0.0649019726280272	0.2647107917763255	0.0250329755463982	-0.0725012000605508	0.0911193530870619	-0.0955782517404686	-0.0188029989961666	-0.0	IgAKO
CG09-9	-0.2141312521314475	0.0422801550437559	0.0462217127063877	0.0778574162532203	0.1564574763672415	0.0454082980604217	0.0081988335615118	-0.0655998792665408	0.1641631961410802	0.0893969576714008	-0.1008528375641117	0.0759676730557947	-0.0	IgAKO
CG10-10	-0.0209368653527945	-0.421519849041004	-0.0782500280463043	-0.0425564642139994	0.08445234979802	-0.136307527262358	0.0159569724704734	0.016084408610763	-0.0433756023074446	0.0072667863650642	-0.0306132712599834	0.0023029189569621	-0.0	IgAKO
CG11-11	-0.1338122688126052	0.0128956375858821	0.0455769923620463	0.150966670406175	0.0233004549420355	0.078343063333098	0.0276412294362611	0.1779656361261977	-0.0241932488895369	-0.1856887676433521	-0.0536452067858507	-0.0394403975350642	-0.0	IgAKO
CG12-12	-0.0020056087746231	0.050363166012774	-0.3360940623905842	0.0305026273255612	0.0474397445286406	0.067056457297091	0.0632773703075156	0.0523600572577782	0.0536525085829037	0.0177372564190267	0.1595155079847905	0.0234537197210916	-0.0	IgAKO
CG13-13	0.1984429493874034	0.1208294731064522	-0.145983106262776	0.1063195277743295	0.1110774015666382	-0.0494093412681971	-0.1589020571352804	-0.1413768917852483	-0.0797086057303238	-0.0518466796936133	-0.0770824738602252	-0.034444784571426	-0.0	IgAKO
CG01-1	-0.14094557041450476	0.035528350008243476	0.10655749662408526	0.19336614558342605	-0.14192490866507732	-0.12987998859597813	0.06219248261756329	-0.1056348299128717	-0.11121243765600285	0.009143768867306239	0.09053713471037812	0.06743602580731127	-0.0	WT
